County  ,Municipality  ,LD  ,CD  ,Residential 2013,Residential 2014,Residential 2015,Residential 2016,Residential 2017,COO 2013,COO 2014,COO 2015,COO 2016,COO 2017,Med Rent 2013,Med Rent  2014,Med Rent  2015,Med Rent  2016,Med Rent  2017,Res. Prop Value 2013,Res. Prop Value 2014,Res. Prop Value 2015,Res. Prop Value 2016,Res. Prop Value 2017,Occ % 2013,Occ %  2014,Occ %  2015,Occ %  2016,Occ %  2017,OwnOcc 2013,OwnOcc  2014,OwnOcc  2015,OwnOcc  2016,OwnOcc  2017
Essex,South Orange,27,10,0,216,2,-,-,0,0,1,-,-,"1,460","1,579","1,599",-,-,"515,162","526,048","538,039","555,935","555,935",94.86,94.86,94.86,94.86,94.86,71.05,71.05,71.05,71.05,71.05
Mercer,Pennington,15,12,0,0,0,-,-,0,0,0,-,-,"1,226","1,386","1,393",-,-,"498,922","498,288","506,602","497,530","497,530",95.2,95.2,95.2,95.2,95.2,79.24,79.24,79.24,79.24,79.24
Warren,Pohatcong,23,7,0,1,1,-,-,1,0,1,-,-,"1,333","1,357","1,305",-,-,"163,374","176,976","168,540","170,115","170,115",92.25,92.25,92.25,92.25,92.25,86.18,86.18,86.18,86.18,86.18
Warren,Washington,23,5,23,14,0,-,-,25,10,0,-,-,980,982,968,-,-,"176,394","169,230","170,044","173,995","173,995",90.54,90.54,90.54,90.54,90.54,57.34,57.34,57.34,57.34,57.34
Warren,White,24,5,1,1,1,-,-,1,0,1,-,-,864,789,803,-,-,"249,532","239,200","262,426","256,851","256,851",91.8,91.8,91.8,91.8,91.8,82.27,82.27,82.27,82.27,82.27
Morris,Chatham,21,11,8,6,13,-,-,8,4,8,-,-,"1,496","1,560","1,585",-,-,"730,127","742,241","767,115","788,110","788,110",95.73,95.73,95.73,95.73,95.73,79.34,79.34,79.34,79.34,79.34
Gloucester,Woodbury,5,1,0,1,0,-,-,0,0,1,-,-,871,863,899,-,-,"152,919","146,572","146,945","141,256","141,256",91.74,91.74,91.74,91.74,91.74,58.19,58.19,58.19,58.19,58.19
Morris,Chatham Twp,27,11,18,24,30,-,-,25,22,26,-,-,"1,920","1,856","1,889",-,-,"811,879","830,459","854,992","872,843","872,843",94.84,94.84,94.84,94.84,94.84,81.86,81.86,81.86,81.86,81.86
Hudson,West New York,32,8,104,114,355,-,-,94,418,5,-,-,"1,133","1,157","1,174",-,-,"239,751","270,070","274,146","297,011","297,011",94.18,94.18,94.18,94.18,94.18,21.32,21.32,21.32,21.32,21.32
Morris,Chester Twp,25,7,4,7,3,-,-,3,4,5,-,-,0,-,-,-,-,"683,147","674,635","682,640","680,503","680,503",96.11,96.11,96.11,96.11,96.11,93.94,93.94,93.94,93.94,93.94
Morris,Denville,25,11,11,39,97,-,-,14,9,6,-,-,"1,544","1,712","1,642",-,-,"430,989","447,025","463,793","431,352","431,352",95.52,95.52,95.52,95.52,95.52,85.81,85.81,85.81,85.81,85.81
Hunterdon,Milford,23,7,0,1,0,-,-,0,1,0,-,-,"1,152","1,147","1,147",-,-,"222,447","214,181","230,001","228,148","228,148",94.2,94.2,94.2,94.2,94.2,70,70,70,70,70
Morris,East Hanover,27,11,5,23,10,-,-,1,7,6,-,-,"1,229","1,381","1,435",-,-,"505,645","512,173","482,935","466,410","466,410",97.91,97.91,97.91,97.91,97.91,93.68,93.68,93.68,93.68,93.68
Ocean,Point Pleasant,30,"3, 4",66,56,20,-,-,22,14,10,-,-,"1,353","1,390","1,452",-,-,"382,813","388,181","389,261","389,416","389,416",87.3,87.3,87.3,87.3,87.3,80.08,80.08,80.08,80.08,80.08
Cumberland,Downe,1,2,5,5,4,-,-,4,2,7,-,-,"1,278","1,057",927,-,-,"131,967","136,328","138,195","130,052","130,052",64.86,64.86,64.86,64.86,64.86,87.31,87.31,87.31,87.31,87.31
Morris,Hanover,27,11,163,7,21,-,-,26,94,168,-,-,"2,100","2,100","2,065",-,-,"414,390","437,935","458,069","472,222","472,222",96.06,96.06,96.06,96.06,96.06,84.19,84.19,84.19,84.19,84.19
Ocean,Plumsted,12,4,7,5,4,-,-,7,6,7,-,-,"1,140","1,184","1,224",-,-,"297,383","292,548","302,363","300,320","300,320",95.73,95.73,95.73,95.73,95.73,87.33,87.33,87.33,87.33,87.33
Essex,Essex Fells,27,11,0,4,5,-,-,3,0,3,-,-,"2,100","2,000","2,850",-,-,"907,925","929,087","939,594","932,928","932,928",96.04,96.04,96.04,96.04,96.04,94.23,94.23,94.23,94.23,94.23
Morris,Harding,27,11,5,5,7,-,-,6,7,4,-,-,"1,295","1,440","1,826",-,-,"1,326,974","1,303,916","1,338,440","1,299,844","1,299,844",91.55,91.55,91.55,91.55,91.55,87.99,87.99,87.99,87.99,87.99
Gloucester,Elk,3,2,0,1,9,-,-,0,0,3,-,-,969,846,795,-,-,"205,740","206,297","209,116","209,848","209,848",93.53,93.53,93.53,93.53,93.53,89.55,89.55,89.55,89.55,89.55
Ocean,Point Pleasant Beach,10,4,39,51,37,-,-,5,39,45,-,-,"1,684","1,549","1,521",-,-,"568,985","561,850","567,757","566,502","566,502",58.85,58.85,58.85,58.85,58.85,64.48,64.48,64.48,64.48,64.48
Gloucester,Pitman,4,2,0,0,0,-,-,4,0,0,-,-,"1,014",987,999,-,-,"180,951","175,403","177,951","177,275","177,275",94.17,94.17,94.17,94.17,94.17,73.14,73.14,73.14,73.14,73.14
Camden,Audubon Park,5,1,0,0,0,-,-,0,0,0,-,-,746,749,746,-,-,-,-,-,-,-,98.8,98.8,98.8,98.8,98.8,37.12,37.12,37.12,37.12,37.12
Camden,Lawnside,5,1,2,0,0,-,-,1,1,0,-,-,747,791,786,-,-,"150,595","145,230","137,772","145,039","145,039",93.95,93.95,93.95,93.95,93.95,72.17,72.17,72.17,72.17,72.17
Cape May,Cape May,1,2,8,16,16,-,-,8,7,13,-,-,853,860,854,-,-,"613,226","612,888","612,919","649,250","649,250",35.07,35.07,35.07,35.07,35.07,54.29,54.29,54.29,54.29,54.29
