County  ,Municipality  ,LD  ,CD  ,% Pop Change 2013,% Pop Change 2014,% Pop Change 2015,% Pop Change 2016,% Pop Change 2017,25+ 2013,25+ 2014,25+ 2015,25+ 2016,25+ 2017,% College Grad 2013,% College Grad 2014,% College Grad 2015,% College Grad 2016,% College Grad 2017,% Foreign Born 2013,% Foreign Born 2014,% Foreign Born 2015,% Foreign Born 2016,% Foreign Born 2017,% AA 2013,% AA 2014,% AA 2015,% AA 2016,% AA 2017,% Asian 2013,,2015,2016,2017,% Hisp 2013,2014,2015,2016,2017
Essex,Montclair,34,"10, 11",0.65,1.26,1.41,2.74,4.14,"25,111","12,571","25,730",-,-,67.11,82.12,68.2,-,-,14.03,18.5,14.75,-,-,27.16,27.16,27.16,27.16,27.16,3.81,3.81,3.81,3.81,3.81,7.46,7.46,7.46,7.46,7.46
Atlantic,Northfield,2,2,-0.05,-0.23,-1.19,-2.48,-3.06,"5,898","5,886","5,819",-,-,31.81,32.65,31.67,-,-,12.92,9.81,12.17,-,-,3.24,3.24,3.24,3.24,3.24,4.5,4.5,4.5,4.5,4.5,8,8,8,8,8
Burlington,Beverly,7,3,-0.47,-0.89,-0.7,-2.48,-2.83,"1,592","1,672","1,745",-,-,15.77,15.61,15.82,-,-,6.31,6.14,7.82,-,-,29.88,29.88,29.88,29.88,29.88,0.78,0.78,0.78,0.78,0.78,9.16,9.16,9.16,9.16,9.16
Monmouth,Holmdel,13,4,-0.35,-0.47,-0.61,-1.01,-0.79,"11,534","11,271","11,600",-,-,57.67,61.39,61.7,-,-,19.92,20.95,21.51,-,-,0.86,0.86,0.86,0.86,0.86,19.16,19.16,19.16,19.16,19.16,3.7,3.7,3.7,3.7,3.7
Essex,Maplewood,27,10,2.62,3.31,3.49,3.21,4.11,"15,184","20,315","15,798",-,-,62.74,67.95,60.6,-,-,18.13,22.74,20.22,-,-,35.3,35.3,35.3,35.3,35.3,3.04,3.04,3.04,3.04,3.04,6.68,6.68,6.68,6.68,6.68
Bergen,Oradell,38,5,1.88,2.29,3.01,3.02,4.21,"5,439","5,440","5,489",-,-,61.17,63.38,64.37,-,-,16.74,17.12,19.84,-,-,0.68,0.68,0.68,0.68,0.68,11.26,11.26,11.26,11.26,11.26,4.98,4.98,4.98,4.98,4.98
Essex,Caldwell,27,11,0.5,0.97,1.61,2.51,3.36,"5,869","5,772","5,680",-,-,46.28,48.18,49.6,-,-,15.45,15.7,14.83,-,-,3.32,3.32,3.32,3.32,3.32,4.72,4.72,4.72,4.72,4.72,10.05,10.05,10.05,10.05,10.05
Monmouth,Lake Como,30,4,-1.88,-2.56,-1.93,-2.39,-2.39,"1,220","1,176","1,144",-,-,39.02,42.01,43.27,-,-,17.32,19.37,13.97,-,-,6.14,6.14,6.14,6.14,6.14,1.19,1.19,1.19,1.19,1.19,18.31,18.31,18.31,18.31,18.31
Essex,Bloomfield,28,"10, 11",0.58,1.3,2.03,2.59,7.72,"33,661","33,320","33,688",-,-,39.09,38.67,39.08,-,-,27.26,27.92,25.88,-,-,18.51,18.51,18.51,18.51,18.51,8.22,8.22,8.22,8.22,8.22,24.53,24.53,24.53,24.53,24.53
Monmouth,Keansburg,13,6,-0.9,-2.31,-2.3,-2.76,-2.96,"6,968","7,191","7,418",-,-,15.84,17.4,16.11,-,-,9.74,9.02,10.11,-,-,6.57,6.57,6.57,6.57,6.57,1.7,1.7,1.7,1.7,1.7,14.77,14.77,14.77,14.77,14.77
